index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
y,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000
z,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000
     0.00,    7.0484,    8.9281,    8.7202,    2.1834,    1.0321,    0.2301,   -0.5500,    0.1800,   -0.5100
     0.10,    6.9848,    9.0012,    8.8112,    1.1355,    1.1907,    0.1272,   -0.9900,    0.1600,   -0.3950
     0.20,    6.9433,    9.1120,    8.7604,    1.4153,    0.9265,    0.1352,   -1.1300,    0.2600,   -0.4500
     0.30,    6.8215,    8.9232,    8.9456,    1.0727,    1.1882,   -0.0094,   -0.7900,    0.2900,   -0.4750
     0.40,    6.1956,    9.1389,    8.8594,    0.8320,    1.1720,    0.4894,   -0.7100,    0.2700,   -0.0700
     0.50,    5.6497,    9.0704,    9.0835,    0.8397,    1.1493,    0.2889,   -0.8650,    0.1100,   -0.2200
     0.60,    5.4140,    9.1591,    8.9190,    1.1634,    1.1816,    0.4682,   -0.7600,    0.2700,   -0.1400
     0.70,    6.0497,    9.2795,    8.9807,    0.8889,    1.3032,    0.1979,   -0.7950,    0.1200,   -0.3100
     0.80,    6.5096,    9.2042,    9.1261,    1.6399,    1.3367,    0.1160,   -0.4600,    0.1700,   -0.4100
     0.90,    6.6348,    9.3423,    9.2275,    1.5484,    1.5460,   -0.0140,   -0.3850,   -0.0250,   -0.4100
     1.00,    6.6096,    9.3064,    9.0726,    1.6380,    1.5488,    0.1451,   -0.6600,   -0.1000,   -0.2400
     1.10,    6.4889,    9.2596,    9.0422,    1.6053,    1.4076,    0.2767,   -0.7150,   -0.2600,   -0.2500
     1.20,    6.5946,    9.0990,    9.1110,    1.5862,    1.3808,    0.0643,   -0.7600,   -0.1300,   -0.3600
     1.30,    6.5933,    9.2847,    8.8573,    1.4222,    1.2611,    0.3324,   -0.5450,    0.0200,   -0.0550
     1.40,    6.6303,    9.2586,    8.8419,    1.4695,    1.3577,    0.1096,   -0.2300,   -0.0400,   -0.1300
     1.50,    6.5505,    9.1293,    8.6563,    1.4811,    1.1922,    0.4894,   -0.2300,    0.1000,    0.0350
     1.60,    6.8349,    9.0805,    8.5850,    1.1954,    1.3572,    0.5768,   -0.2000,    0.1100,    0.0500
     1.70,    6.5795,    9.1534,    8.5897,    1.3315,    1.4017,    0.7127,   -0.1800,    0.2200,    0.0500
     1.80,    6.8243,    9.0635,    8.7796,    1.9778,    1.2055,    0.5009,   -0.2500,   -0.0600,    0.1600
     1.90,    6.5558,    8.7321,    8.6507,    2.1051,    1.2360,    0.3034,   -0.5900,    0.0400,    0.3050
     2.00,    7.0162,    8.8008,    8.7766,    2.2721,    1.3727,    0.3510,   -0.3200,   -0.0400,    0.2800
     2.10,    7.1903,    8.8419,    8.8341,    1.4635,    1.3279,    0.3758,   -0.3500,    0.0000,    0.4050
     2.20,    7.1324,    8.7791,    9.0399,    1.6737,    1.4911,    0.0057,    0.1700,    0.1500,    0.2600
     2.30,    6.9703,    8.7103,    8.9044,    0.9627,    1.5005,    0.2384,   -0.3100,    0.0250,    0.3800
     2.40,    8.1603,    8.5277,    8.9611,    1.2513,    1.6241,    0.0673,   -0.3200,   -0.1200,    0.4100
     2.50,    7.8994,    8.6777,    9.1539,    1.2584,    1.6212,    0.0055,   -0.1450,   -0.1300,    0.2200
     2.60,    7.3543,    8.6107,    9.1999,    0.8531,    1.4705,   -0.1955,    0.3500,   -0.0100,    0.0400
     2.70,    7.8051,    8.4134,    9.1317,    0.4882,    1.5104,   -0.3072,    0.1250,   -0.0900,    0.0200
     2.80,    8.4107,    8.4876,    9.1497,    0.6622,    1.7189,   -0.3085,    0.1400,   -0.2900,    0.1600
     2.90,    8.3757,    8.5151,    9.0731,    0.9180,    1.4943,   -0.2360,    0.0850,    0.0000,    0.0250
     3.00,    8.5085,    8.7666,    9.0256,    0.8524,    1.3614,   -0.1100,   -0.3200,   -0.0100,    0.1500
     3.10,    8.2410,    8.7401,    8.8722,    0.6806,    1.2869,   -0.0790,   -0.5350,   -0.0950,    0.1800
     3.20,    7.6663,    8.6255,    8.8956,    0.7489,    1.4082,   -0.2115,   -0.2600,    0.0500,    0.1000
     3.30,    7.5380,    8.7908,    8.9148,    0.8365,    1.4249,   -0.2519,   -0.0100,    0.0250,    0.1000
     3.40,    7.3685,    8.8998,    9.0822,    0.9689,    1.3207,   -0.2812,   -0.0800,   -0.1200,    0.2200
     3.50,    7.9796,    8.6836,    9.1101,    1.2719,    1.1090,    0.0143,   -0.2900,   -0.3300,    0.3800
     3.60,    7.6168,    8.8013,    8.8052,    0.5719,    1.1946,   -0.2297,   -0.3100,   -0.2000,    0.2300
     3.70,    7.3221,    8.8099,    8.9841,    0.1866,    1.1245,   -0.2362,   -0.0150,   -0.1900,    0.0700
     3.80,    8.1112,    8.9283,    9.0995,    0.0840,    1.1461,   -0.4215,   -0.1300,   -0.1900,    0.3100
     3.90,    8.0739,    8.9072,    9.1246,    0.4749,    1.0865,   -0.5681,   -0.1550,   -0.0600,    0.2600
     4.00,    7.9280,    9.1455,    9.2795,    0.5317,    1.4079,   -0.7272,   -0.1200,   -0.1400,    0.1900
     4.10,    7.7117,    9.0156,    9.1105,    0.2630,    1.3635,   -0.9759,   -0.3400,   -0.1800,    0.0600
     4.20,    7.9209,    9.0763,    9.0911,    0.0678,    1.4493,   -0.6434,   -0.4800,   -0.1400,    0.1600
     4.30,    7.8461,    9.0735,    9.2194,   -0.2228,    1.3563,   -0.5279,   -0.3150,   -0.1950,    0.2200
     4.40,    7.6283,    9.0057,    9.2457,   -0.1605,    1.2126,   -0.9165,   -0.1200,   -0.1600,    0.1800
     4.50,    7.6254,    9.1622,    9.2733,   -0.3105,    1.1855,   -0.7350,   -0.3200,   -0.1700,   -0.1200
     4.60,    8.0369,    9.2734,    9.2016,    0.9797,    1.2954,   -0.6156,   -0.2700,   -0.1500,    0.2300
     4.70,    7.9772,    9.2581,    9.3503,    0.9439,    1.1296,   -0.6365,   -0.3000,   -0.4300,    0.1800
     4.80,    7.9214,    9.1776,    9.1985,    0.7019,    1.2052,   -0.4735,   -0.5100,   -0.2800,    0.2000
     4.90,    8.2399,    9.0510,    9.3066,    1.1827,    1.2787,   -0.7737,   -0.3450,   -0.2250,    0.2100
     5.00,    7.8936,    9.0690,    9.3277,    1.2186,    1.2774,   -0.7141,   -0.3600,   -0.2400,    0.0400
     5.10,    7.7137,    9.1170,    9.2147,    1.5812,    1.1764,   -0.6639,   -0.6100,   -0.1950,    0.0900
     5.20,    7.1341,    9.0138,    9.4851,    0.8475,    1.3205,   -0.9513,   -0.8600,   -0.1100,   -0.0200
     5.30,    7.0019,    9.0914,    9.4949,    0.5320,    1.2979,   -0.8574,   -0.7450,   -0.1650,   -0.0800
     5.40,    5.8068,    9.0677,    9.1524,    0.6916,    1.1134,   -0.6786,   -1.2300,   -0.2400,    0.1900
     5.50,    6.3372,    9.1618,    9.0805,    1.0132,    1.2175,   -0.2671,   -0.9100,   -0.2950,    0.0200
     5.60,    5.6487,    9.1539,    9.0790,    0.9928,    1.2237,   -0.5452,   -0.6800,   -0.3700,   -0.0100
     5.70,    5.8783,    9.1098,    8.8927,    0.9212,    1.1185,   -0.3044,   -0.8100,   -0.4100,    0.1200
     5.80,    6.2422,    9.1054,    9.1344,    1.2651,    1.0966,   -0.0682,   -0.7900,   -0.4500,    0.2100
     5.90,    6.4116,    9.0276,    8.9903,    0.9297,    1.2082,    0.1777,   -0.8100,   -0.4600,    0.1650
     6.00,    6.7837,    9.1872,    8.7503,    1.4385,    1.1850,   -0.0726,   -0.2200,   -0.4100,    0.1600
     6.10,    6.6086,    9.1242,    8.6996,    1.5880,    1.2913,    0.3985,   -0.5200,   -0.3600,    0.2100
     6.20,    6.9329,    9.2268,    8.6966,    1.4996,    1.2683,    0.2485,   -0.2800,   -0.4000,    0.1100
     6.30,    7.0626,    9.1593,    8.7079,    1.4300,    1.2956,    0.2143,   -0.2700,   -0.3950,   -0.0100
     6.40,    7.1590,    9.0850,    8.6604,    1.8052,    1.3791,    0.5433,   -0.2700,   -0.3800,    0.0800
     6.50,    7.0276,    9.1404,    8.8810,    1.6857,    1.4500,    0.3709,   -0.4200,   -0.2300,   -0.4200
