index,u_p0,u_p1,u_p2,v_p0,v_p1,v_p2,w_p0,w_p1,w_p2
k,0,0,0,1,1,1,2,2,2
x,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
y,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000,107.100000
z,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000,17.000000,57.000000,93.000000
     0.00,    6.4170,    7.9561,    7.7330,   -1.0288,   -0.6830,   -0.8387,   -0.2200,   -0.3000,   -0.7300
     0.10,    6.5733,    7.8551,    7.6095,   -1.3159,   -0.7311,   -0.9643,   -0.2900,   -0.3900,   -0.7000
     0.20,    6.6066,    7.8049,    7.6574,   -1.3546,   -0.8441,   -0.9192,   -0.2600,   -0.4900,   -0.6100
     0.30,    6.4504,    7.8347,    7.4842,   -1.3595,   -0.8547,   -0.8728,   -0.2300,   -0.5200,   -0.6250
     0.40,    6.3911,    7.6443,    7.5598,   -1.2243,   -0.8709,   -0.9953,   -0.1400,   -0.5500,   -0.5500
     0.50,    6.1409,    7.7453,    7.5691,   -1.7395,   -0.8229,   -0.9835,   -0.4900,   -0.4600,   -0.5250
     0.60,    6.4034,    7.7921,    7.5832,   -1.2085,   -0.6818,   -0.7217,   -0.3000,   -0.3600,   -0.5500
     0.70,    6.4620,    7.6990,    7.5509,   -1.6858,   -0.7360,   -0.6901,   -0.4300,   -0.3000,   -0.6350
     0.80,    6.2596,    7.4963,    7.5953,   -1.1977,   -0.7680,   -0.8200,   -0.4000,   -0.3600,   -0.7100
     0.90,    6.1062,    7.7884,    7.3799,   -1.1667,   -0.7678,   -1.0388,   -0.3400,   -0.3500,   -0.4900
     1.00,    6.2438,    7.9004,    7.4653,   -1.5915,   -0.8680,   -0.9214,   -0.4000,   -0.5800,   -0.5300
     1.10,    6.3039,    7.8578,    7.4447,   -1.7907,   -0.6951,   -0.8990,   -0.3600,   -0.3950,   -0.6200
     1.20,    6.7816,    7.8398,    7.2579,   -1.9101,   -0.4907,   -0.6833,   -0.5100,   -0.3100,   -0.6000
     1.30,    6.6250,    8.0694,    7.3434,   -2.1431,   -0.6193,   -0.7120,   -0.5900,   -0.4900,   -0.6550
     1.40,    6.2862,    7.9376,    7.3798,   -1.8783,   -0.7067,   -0.6897,   -0.4000,   -0.5400,   -0.6000
     1.50,    6.1433,    7.7724,    7.3995,   -1.8175,   -0.8695,   -0.9081,   -0.5000,   -0.6300,   -0.6650
     1.60,    6.4071,    7.7303,    7.4584,   -1.9347,   -0.8746,   -0.8653,   -0.3900,   -0.7200,   -0.7000
     1.70,    6.3377,    8.0457,    7.5105,   -1.6013,   -0.6008,   -0.9123,   -0.0300,   -0.4400,   -0.6250
     1.80,    6.0958,    7.9896,    7.2963,   -1.0824,   -0.6077,   -0.7641,   -0.1100,   -0.3500,   -0.6500
     1.90,    5.8988,    7.8916,    7.3482,   -1.3346,   -0.5057,   -0.7221,   -0.1500,   -0.4800,   -0.6800
     2.00,    5.4135,    7.8499,    7.3498,   -1.0950,   -0.6890,   -0.7931,   -0.0800,   -0.4800,   -0.6800
     2.10,    5.7880,    7.7349,    7.2140,   -1.4764,   -0.7387,   -0.7314,    0.1200,   -0.5050,   -0.8200
     2.20,    5.6737,    7.9541,    7.2934,   -1.5902,   -0.7830,   -0.5079,    0.2400,   -0.5000,   -0.6500
     2.30,    5.3524,    7.9275,    7.3015,   -1.7579,   -0.9145,   -0.8062,    0.2400,   -0.4900,   -0.6300
     2.40,    5.2773,    7.7007,    7.3050,   -1.6104,   -1.1561,   -0.8342,    0.1100,   -0.6200,   -0.5000
     2.50,    5.2645,    7.8470,    7.3159,   -1.4481,   -0.8389,   -0.8365,    0.0800,   -0.5900,   -0.4850
     2.60,    5.3127,    7.7187,    7.2198,   -1.4351,   -0.9544,   -0.8946,   -0.4700,   -0.5000,   -0.4700
     2.70,    5.1839,    7.3530,    7.2549,   -1.3725,   -0.9352,   -0.8903,   -0.5400,   -0.7300,   -0.4600
     2.80,    5.3164,    7.5017,    7.1636,   -1.3491,   -0.6961,   -0.9015,   -0.6400,   -0.8500,   -0.4600
     2.90,    5.4469,    7.4692,    7.3548,   -1.0196,   -0.7215,   -0.6892,   -0.6900,   -0.7800,   -0.3900
     3.00,    5.6612,    7.5446,    7.2895,   -0.5018,   -0.7549,   -0.7079,   -0.7000,   -0.5600,   -0.3700
     3.10,    5.9158,    7.6914,    7.4111,   -0.3707,   -0.6158,   -0.8283,   -0.6800,   -0.4650,   -0.4050
     3.20,    5.7536,    7.9278,    7.3111,   -0.3835,   -0.3944,   -0.8264,   -0.6400,   -0.4300,   -0.4200
     3.30,    6.1047,    7.8443,    7.2452,   -0.6325,   -0.4688,   -0.8701,   -0.7600,   -0.3800,   -0.4250
     3.40,    6.0358,    7.7083,    7.2294,   -0.4771,   -0.4641,   -0.9148,   -0.6500,   -0.3700,   -0.3600
     3.50,    6.0609,    7.6281,    7.0993,   -0.6237,   -0.2745,   -0.8132,   -0.8100,   -0.4200,   -0.4750
     3.60,    5.9673,    7.7194,    7.0705,   -0.4998,   -0.2063,   -0.9556,   -0.8300,   -0.3500,   -0.5800
     3.70,    6.5374,    7.6537,    7.0244,   -0.5010,   -0.1930,   -0.8117,   -0.5400,   -0.4800,   -0.4850
     3.80,    6.4465,    7.7532,    7.1346,    0.0649,   -0.0169,   -0.9549,   -0.8000,   -0.7200,   -0.5800
     3.90,    6.3655,    7.7322,    7.0838,   -0.4936,    0.0375,   -1.0929,   -1.2400,   -0.6600,   -0.3700
     4.00,    6.4202,    7.7699,    7.1459,   -0.3587,    0.0208,   -0.9891,   -1.0000,   -0.8500,   -0.5500
     4.10,    6.2131,    7.9156,    6.8553,   -0.0065,    0.0529,   -1.1174,   -1.1200,   -0.6650,   -0.4550
     4.20,    6.6073,    7.9507,    6.8706,   -0.2004,    0.0572,   -0.9517,   -0.2900,   -0.5800,   -0.5200
     4.30,    6.5273,    7.9970,    6.9295,    0.5094,   -0.0297,   -1.0549,   -0.7100,   -0.6400,   -0.2950
     4.40,    6.8799,    7.9243,    7.1885,    0.1323,    0.0397,   -1.1620,   -0.6500,   -0.5700,   -0.2800
     4.50,    6.5941,    7.8765,    7.2774,    0.5461,   -0.1514,   -1.0157,   -0.3900,   -0.6500,   -0.3000
     4.60,    6.7334,    8.0531,    7.1799,    0.5133,   -0.0228,   -0.6857,   -0.3900,   -0.5400,   -0.2800
     4.70,    6.3456,    7.8046,    7.2601,    0.4229,    0.2601,   -0.8754,   -0.9500,   -0.8600,   -0.3000
     4.80,    6.2382,    7.7551,    7.3584,    0.2530,    0.0831,   -0.8633,   -0.6200,   -0.7900,   -0.1800
     4.90,    6.2628,    7.7239,    7.2230,    0.2845,    0.2217,   -0.6306,   -0.9400,   -0.7600,   -0.2550
     5.00,    5.9067,    7.8172,    7.2358,   -0.1225,   -0.0162,   -0.7929,   -0.8600,   -0.7800,   -0.3100
     5.10,    6.4135,    7.7741,    7.4251,    0.2175,   -0.0713,   -0.8266,   -0.6800,   -0.6900,   -0.4350
     5.20,    6.4384,    7.9187,    7.3252,   -0.0430,   -0.1462,   -0.4186,   -0.4900,   -0.6800,   -0.0900
     5.30,    6.4645,    7.6497,    7.3606,    0.2666,    0.0131,   -0.2432,   -0.7500,   -0.8200,   -0.2250
     5.40,    6.3409,    7.6638,    7.3350,    0.2870,    0.0149,   -0.3247,   -0.8200,   -0.7800,   -0.2500
     5.50,    6.5650,    7.5458,    7.3725,    0.0865,   -0.1849,   -0.4555,   -1.1800,   -0.7600,   -0.3050
     5.60,    6.5913,    7.7064,    7.4677,   -0.3021,   -0.1580,   -0.5934,   -1.1400,   -0.7200,   -0.3200
     5.70,    5.7595,    7.7170,    7.3380,    0.3225,   -0.1282,   -0.5808,   -1.3200,   -0.7100,   -0.4350
     5.80,    5.9479,    7.6475,    7.3749,   -0.1673,   -0.2009,   -0.5336,   -1.6800,   -0.7400,   -0.5200
     5.90,    6.5074,    7.6983,    7.2847,   -0.1984,   -0.2659,   -0.4948,   -1.0400,   -0.7600,   -0.4100
     6.00,    6.1463,    7.7379,    7.4234,   -0.4493,   -0.1826,   -0.4065,   -0.8400,   -0.7400,   -0.5600
     6.10,    5.9003,    7.7188,    7.2722,   -0.6505,   -0.2883,   -0.3645,   -0.7500,   -0.5750,   -0.4550
